churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,churn_month,churn_year,churn_month_label,churn_category
C-4ab0e2,A-e7a1e2,2024-09-08,support,0.0,1,0,0,missing features,9,2024,2024-09,SUPPORT
C-742a59,A-812c5b,2024-05-11,support,11.83,0,0,0,missing features,5,2024,2024-05,SUPPORT
C-1f9cf2,A-1e50e0,2024-04-26,pricing,0.0,0,0,0,switched to competitor,4,2024,2024-04,OTHER
C-5d5a64,A-c70870,2024-12-13,competitor,0.0,0,0,0,switched to competitor,12,2024,2024-12,COMPETITION
C-f81017,A-271f46,2024-08-09,features,0.0,0,0,1,missing features,8,2024,2024-08,PRODUCT
C-3292be,A-592832,2024-10-04,support,22.66,0,0,0,switched to competitor,10,2024,2024-10,SUPPORT
C-e582ea,A-180abf,2023-12-04,support,0.0,0,0,0,,12,2023,2023-12,SUPPORT
C-100b97,A-0a282f,2024-10-06,features,0.0,0,0,0,switched to competitor,10,2024,2024-10,PRODUCT
C-8843d4,A-e51ec7,2024-01-29,support,0.0,0,0,0,missing features,1,2024,2024-01,SUPPORT
C-8b3048,A-034368,2024-08-29,features,0.0,1,0,0,,8,2024,2024-08,PRODUCT
C-48f456,A-8bde0c,2024-11-28,features,0.0,0,0,0,missing features,11,2024,2024-11,PRODUCT
C-dcdebc,A-08e34e,2024-07-13,competitor,225.18,0,0,0,switched to competitor,7,2024,2024-07,COMPETITION
C-8b229b,A-44dc83,2024-11-29,unknown,98.48,0,1,0,missing features,11,2024,2024-11,OTHER
C-7d13bf,A-78f02b,2024-12-02,unknown,0.0,0,0,0,missing features,12,2024,2024-12,OTHER
C-78a2bb,A-fce879,2024-12-03,features,0.0,1,0,0,switched to competitor,12,2024,2024-12,PRODUCT
C-935f48,A-34ea2f,2024-10-05,unknown,0.0,1,0,0,,10,2024,2024-10,OTHER
C-366a49,A-0baac2,2024-12-24,unknown,68.65,0,0,0,switched to competitor,12,2024,2024-12,OTHER
C-62e7a3,A-ac85cd,2024-10-20,features,83.94,0,0,0,,10,2024,2024-10,PRODUCT
C-f3aca2,A-439b2f,2024-11-18,features,0.0,0,0,0,switched to competitor,11,2024,2024-11,PRODUCT
C-3b7c60,A-0f6450,2024-12-29,competitor,0.0,0,0,0,missing features,12,2024,2024-12,COMPETITION
C-736efa,A-b78bf8,2024-12-06,unknown,0.0,0,0,0,,12,2024,2024-12,OTHER
C-f6e873,A-3b5cd1,2024-07-24,support,35.3,0,0,0,too expensive,7,2024,2024-07,SUPPORT
C-2e2a3f,A-7df7a7,2024-07-10,budget,0.0,0,0,0,missing features,7,2024,2024-07,PRICING
C-762dd4,A-396e5f,2024-11-30,features,0.0,0,0,0,too expensive,11,2024,2024-11,PRODUCT
C-f72425,A-32fb14,2023-08-19,budget,0.0,0,0,0,switched to competitor,8,2023,2023-08,PRICING
C-0e273d,A-4e0e85,2024-03-14,pricing,0.0,0,0,0,,3,2024,2024-03,OTHER
C-345bbc,A-922109,2024-08-03,support,0.0,1,1,0,too expensive,8,2024,2024-08,SUPPORT
C-555f55,A-794a0b,2024-09-09,budget,0.0,0,1,0,switched to competitor,9,2024,2024-09,PRICING
C-a26ce8,A-5a184f,2024-03-19,support,0.0,0,1,0,missing features,3,2024,2024-03,SUPPORT
C-86a446,A-ccb686,2024-06-22,budget,0.0,1,0,0,,6,2024,2024-06,PRICING
C-10ce15,A-029f69,2024-12-14,competitor,32.73,0,0,0,too expensive,12,2024,2024-12,COMPETITION
C-2698c2,A-9208f0,2023-11-18,features,0.0,0,0,0,switched to competitor,11,2023,2023-11,PRODUCT
C-48906a,A-5a92e7,2024-11-11,budget,0.0,1,0,0,missing features,11,2024,2024-11,PRICING
C-4f7342,A-f45426,2024-11-13,pricing,0.0,0,0,0,switched to competitor,11,2024,2024-11,OTHER
C-23b1d0,A-2446e3,2024-07-29,unknown,47.06,0,0,0,,7,2024,2024-07,OTHER
C-7f909a,A-d535f6,2024-11-26,features,0.0,0,0,0,switched to competitor,11,2024,2024-11,PRODUCT
C-f208d4,A-6da850,2024-10-25,competitor,0.0,0,0,0,missing features,10,2024,2024-10,COMPETITION
C-acbc2b,A-249769,2024-12-16,budget,0.0,0,0,0,,12,2024,2024-12,PRICING
C-859615,A-8e47ca,2024-06-01,competitor,0.0,0,0,0,missing features,6,2024,2024-06,COMPETITION
C-035985,A-6da850,2024-01-15,pricing,0.0,0,0,0,too expensive,1,2024,2024-01,OTHER
C-7cace4,A-484819,2023-12-29,support,0.0,0,0,0,,12,2023,2023-12,SUPPORT
C-06a2e6,A-bbc346,2024-10-31,competitor,0.0,1,0,0,too expensive,10,2024,2024-10,COMPETITION
C-eb9d5e,A-eb1312,2024-09-28,unknown,0.0,0,0,0,switched to competitor,9,2024,2024-09,OTHER
C-a45909,A-bf7919,2024-12-06,support,0.0,0,0,0,,12,2024,2024-12,SUPPORT
C-7f85f4,A-bece89,2024-07-27,unknown,53.61,0,0,0,switched to competitor,7,2024,2024-07,OTHER
C-234aa7,A-832ec2,2023-12-19,unknown,0.0,0,0,0,too expensive,12,2023,2023-12,OTHER
C-0ba0a0,A-22d9d2,2024-10-17,pricing,0.0,0,0,0,,10,2024,2024-10,OTHER
C-d05e42,A-32728c,2024-06-22,support,0.0,0,0,0,,6,2024,2024-06,SUPPORT
C-8d3540,A-37f969,2024-12-12,competitor,50.41,0,0,0,,12,2024,2024-12,COMPETITION
C-bedd8c,A-1b9609,2024-11-16,unknown,0.0,0,0,0,,11,2024,2024-11,OTHER
C-1cea52,A-310452,2024-12-25,budget,0.0,1,0,0,,12,2024,2024-12,PRICING
C-1e0b1a,A-016043,2024-08-11,competitor,84.75,0,0,0,switched to competitor,8,2024,2024-08,COMPETITION
C-c4e7a7,A-80eeb6,2023-10-19,features,0.0,0,0,0,missing features,10,2023,2023-10,PRODUCT
C-915973,A-7e0a10,2024-09-26,budget,0.0,0,0,0,missing features,9,2024,2024-09,PRICING
C-a403fc,A-6a7c9d,2024-11-21,support,0.0,0,0,0,too expensive,11,2024,2024-11,SUPPORT
C-025044,A-098560,2024-09-04,pricing,0.0,0,0,0,too expensive,9,2024,2024-09,OTHER
C-a54597,A-9f9299,2024-03-24,features,0.0,0,0,0,missing features,3,2024,2024-03,PRODUCT
C-7ab794,A-ef84cf,2024-11-20,support,0.0,0,0,0,too expensive,11,2024,2024-11,SUPPORT
C-7cd070,A-13466a,2024-04-18,pricing,6.51,0,1,1,switched to competitor,4,2024,2024-04,OTHER
C-1727c8,A-65aeb5,2024-02-27,pricing,0.0,0,0,0,,2,2024,2024-02,OTHER
C-bb9db4,A-659280,2024-11-22,pricing,27.75,0,0,0,switched to competitor,11,2024,2024-11,OTHER
C-0a0bf7,A-d49cc5,2024-04-12,competitor,0.0,0,0,0,missing features,4,2024,2024-04,COMPETITION
C-64ba8a,A-cc8c8f,2024-09-12,budget,0.0,1,0,0,missing features,9,2024,2024-09,PRICING
C-fab429,A-180abf,2024-09-12,support,0.0,0,0,0,,9,2024,2024-09,SUPPORT
C-872bcf,A-6da850,2024-09-07,budget,0.0,0,0,0,switched to competitor,9,2024,2024-09,PRICING
C-480232,A-31ab9a,2024-09-23,competitor,0.0,0,0,1,too expensive,9,2024,2024-09,COMPETITION
C-108b2a,A-e08cd3,2024-09-21,competitor,0.0,0,0,0,switched to competitor,9,2024,2024-09,COMPETITION
C-775d4e,A-0651a4,2024-12-25,support,0.0,0,0,0,too expensive,12,2024,2024-12,SUPPORT
C-043665,A-b2225d,2024-06-27,budget,0.0,0,0,1,,6,2024,2024-06,PRICING
C-2dbe71,A-c222ab,2024-06-14,budget,4.52,0,0,0,too expensive,6,2024,2024-06,PRICING
C-b60cf0,A-a6d261,2024-03-10,unknown,99.94,1,0,0,missing features,3,2024,2024-03,OTHER
C-f24343,A-425e76,2023-09-03,budget,0.0,0,0,1,missing features,9,2023,2023-09,PRICING
C-a1d45c,A-c222ab,2024-06-10,features,27.62,1,0,0,missing features,6,2024,2024-06,PRODUCT
C-9d36da,A-bcf664,2024-08-17,competitor,0.0,0,0,1,,8,2024,2024-08,COMPETITION
C-b4b58e,A-96e141,2024-09-22,budget,0.0,0,0,0,too expensive,9,2024,2024-09,PRICING
C-5cd282,A-df1e44,2024-11-20,budget,0.0,0,0,0,missing features,11,2024,2024-11,PRICING
C-95f56e,A-7f29a7,2024-10-09,unknown,23.97,1,0,0,switched to competitor,10,2024,2024-10,OTHER
C-bd5b55,A-b07b56,2024-12-24,budget,0.0,0,0,0,switched to competitor,12,2024,2024-12,PRICING
C-b8127e,A-d792a6,2024-08-13,support,0.0,0,0,0,missing features,8,2024,2024-08,SUPPORT
C-8153b7,A-7cfe77,2024-12-19,features,0.0,0,1,0,missing features,12,2024,2024-12,PRODUCT
C-b6b828,A-69fad4,2024-06-17,support,0.0,0,0,0,,6,2024,2024-06,SUPPORT
C-a666a4,A-4bfa33,2024-12-28,unknown,7.26,1,0,0,switched to competitor,12,2024,2024-12,OTHER
C-72d074,A-cc1d8d,2024-12-17,features,0.0,0,0,0,too expensive,12,2024,2024-12,PRODUCT
C-ced436,A-7f4db3,2023-03-21,support,0.0,1,0,0,missing features,3,2023,2023-03,SUPPORT
C-2cccb0,A-692f18,2024-12-23,support,0.0,1,0,0,switched to competitor,12,2024,2024-12,SUPPORT
C-b08dda,A-7a0d69,2024-07-09,features,28.95,0,0,0,,7,2024,2024-07,PRODUCT
C-66d447,A-fda07f,2024-09-13,support,17.34,0,0,0,missing features,9,2024,2024-09,SUPPORT
C-860574,A-4e44e8,2024-10-11,budget,0.0,0,0,1,switched to competitor,10,2024,2024-10,PRICING
C-a4f797,A-cd458b,2024-11-07,budget,0.0,0,0,0,switched to competitor,11,2024,2024-11,PRICING
C-4dfeb8,A-56962b,2024-07-27,unknown,45.83,0,0,0,switched to competitor,7,2024,2024-07,OTHER
C-d3449f,A-2bc93d,2023-08-10,pricing,0.0,0,0,0,missing features,8,2023,2023-08,OTHER
C-1a5a14,A-104f1a,2024-09-06,support,0.0,0,0,0,too expensive,9,2024,2024-09,SUPPORT
C-6c63bc,A-2e3bad,2024-03-30,features,0.0,0,0,0,missing features,3,2024,2024-03,PRODUCT
C-1f5828,A-2edab2,2023-12-21,unknown,168.73,0,0,0,switched to competitor,12,2023,2023-12,OTHER
C-8203f3,A-3be56b,2024-06-20,pricing,0.0,0,0,0,switched to competitor,6,2024,2024-06,OTHER
C-f518d9,A-6e08f3,2024-02-10,competitor,0.0,0,0,1,,2,2024,2024-02,COMPETITION
C-974322,A-712533,2024-07-18,unknown,0.0,1,0,0,missing features,7,2024,2024-07,OTHER
C-6b610a,A-df10db,2024-07-12,competitor,0.0,0,0,0,missing features,7,2024,2024-07,COMPETITION
C-61ced5,A-acb7f7,2024-03-21,competitor,0.0,1,0,0,missing features,3,2024,2024-03,COMPETITION
C-bb8317,A-533452,2024-11-19,features,0.0,0,0,0,,11,2024,2024-11,PRODUCT
C-576ecc,A-993085,2024-01-21,features,0.0,0,0,0,,1,2024,2024-01,PRODUCT
C-2608a3,A-bf7919,2024-12-17,features,0.0,0,1,0,too expensive,12,2024,2024-12,PRODUCT
C-30462f,A-bb1486,2024-11-21,budget,0.0,0,0,0,switched to competitor,11,2024,2024-11,PRICING
C-bc6f48,A-eafc6e,2023-07-31,pricing,0.0,0,0,0,,7,2023,2023-07,OTHER
C-8052a7,A-faa28c,2024-08-20,features,0.0,0,0,0,,8,2024,2024-08,PRODUCT
C-3b399f,A-7dacce,2024-12-08,features,0.0,1,0,0,,12,2024,2024-12,PRODUCT
C-a761a8,A-50bb9f,2024-09-12,unknown,0.0,0,1,1,too expensive,9,2024,2024-09,OTHER
C-192e1d,A-716841,2024-11-13,unknown,0.0,0,0,0,too expensive,11,2024,2024-11,OTHER
C-494a16,A-5a184f,2024-09-11,support,0.0,0,0,0,switched to competitor,9,2024,2024-09,SUPPORT
C-3db212,A-e40f45,2024-11-09,budget,101.23,0,0,0,missing features,11,2024,2024-11,PRICING
C-47cdaa,A-9affe6,2024-01-12,features,83.06,0,0,0,missing features,1,2024,2024-01,PRODUCT
C-ac853d,A-0354fe,2024-11-26,support,0.0,0,1,0,switched to competitor,11,2024,2024-11,SUPPORT
C-a24d30,A-f1f639,2024-04-07,budget,0.0,0,0,0,,4,2024,2024-04,PRICING
C-23a031,A-5247b3,2024-10-16,pricing,0.0,0,0,0,,10,2024,2024-10,OTHER
C-178070,A-337bc1,2023-10-21,support,0.0,0,0,0,too expensive,10,2023,2023-10,SUPPORT
C-70de89,A-039727,2024-12-22,pricing,46.49,0,0,0,switched to competitor,12,2024,2024-12,OTHER
C-49de12,A-5c9849,2024-11-13,unknown,0.0,0,1,0,too expensive,11,2024,2024-11,OTHER
C-97ab4b,A-82d8a6,2024-12-29,features,0.0,0,0,0,switched to competitor,12,2024,2024-12,PRODUCT
C-23df1e,A-18793f,2024-12-30,support,25.41,1,0,0,,12,2024,2024-12,SUPPORT
C-1b0bb3,A-81edc3,2024-09-21,pricing,10.91,0,0,0,too expensive,9,2024,2024-09,OTHER
C-48c0c8,A-53f4e3,2024-12-06,competitor,0.0,0,1,1,too expensive,12,2024,2024-12,COMPETITION
C-eaa652,A-1619f8,2024-06-03,competitor,0.0,1,0,0,missing features,6,2024,2024-06,COMPETITION
C-75e17f,A-ed510f,2023-05-05,budget,0.0,0,0,0,too expensive,5,2023,2023-05,PRICING
C-3dbe46,A-76fa4d,2024-11-26,unknown,1.55,0,0,0,too expensive,11,2024,2024-11,OTHER
C-4d517f,A-13466a,2023-11-18,support,0.0,0,0,0,switched to competitor,11,2023,2023-11,SUPPORT
C-50dbff,A-31ab9a,2024-08-09,budget,0.0,0,0,0,switched to competitor,8,2024,2024-08,PRICING
C-2d03fc,A-e43bf7,2023-06-24,pricing,0.0,0,0,0,missing features,6,2023,2023-06,OTHER
C-8bf15d,A-20736a,2024-03-19,competitor,64.98,0,0,0,too expensive,3,2024,2024-03,COMPETITION
C-c6998d,A-956988,2024-12-08,budget,0.0,1,0,0,missing features,12,2024,2024-12,PRICING
C-f8d15f,A-c9bb3e,2024-10-03,unknown,0.0,0,0,0,,10,2024,2024-10,OTHER
C-8eba65,A-dcc3f1,2024-10-10,features,0.0,0,0,0,switched to competitor,10,2024,2024-10,PRODUCT
C-a1253e,A-462d45,2024-05-17,competitor,0.0,0,0,0,missing features,5,2024,2024-05,COMPETITION
C-1e4b49,A-e5d6ab,2023-04-24,features,0.0,0,0,0,switched to competitor,4,2023,2023-04,PRODUCT
C-354790,A-37f969,2024-02-12,pricing,0.0,0,0,0,missing features,2,2024,2024-02,OTHER
C-b5bb09,A-0a62f5,2024-09-27,pricing,90.9,0,0,0,switched to competitor,9,2024,2024-09,OTHER
C-eb8f3d,A-0be015,2024-12-13,unknown,74.68,0,0,0,too expensive,12,2024,2024-12,OTHER
C-76793b,A-e888d1,2023-09-24,support,0.0,0,0,0,missing features,9,2023,2023-09,SUPPORT
C-033d73,A-ffc04f,2024-08-03,unknown,0.0,0,0,0,,8,2024,2024-08,OTHER
C-2b7d9b,A-180abf,2024-03-09,support,0.0,0,1,0,,3,2024,2024-03,SUPPORT
C-6e6bcf,A-7c6b6b,2024-12-09,budget,0.0,0,0,0,too expensive,12,2024,2024-12,PRICING
C-e26b7f,A-781cc0,2024-12-09,budget,0.0,1,0,0,too expensive,12,2024,2024-12,PRICING
C-626a5c,A-e19ff6,2024-04-18,unknown,0.0,0,0,0,missing features,4,2024,2024-04,OTHER
C-fd2fe4,A-78f02b,2024-12-09,budget,0.0,0,0,0,too expensive,12,2024,2024-12,PRICING
C-049f10,A-271f46,2023-03-04,support,0.0,0,0,0,,3,2023,2023-03,SUPPORT
C-57871b,A-6a4e2d,2024-07-19,budget,0.0,0,0,0,,7,2024,2024-07,PRICING
C-fafb31,A-5a92e7,2024-06-18,features,0.0,1,0,0,missing features,6,2024,2024-06,PRODUCT
C-8a3bc6,A-3b37d9,2024-10-13,support,0.0,0,0,0,switched to competitor,10,2024,2024-10,SUPPORT
C-8f9053,A-c1e51e,2024-11-09,pricing,0.0,0,0,0,missing features,11,2024,2024-11,OTHER
C-7690f5,A-4c56c9,2024-04-05,budget,44.23,1,0,0,missing features,4,2024,2024-04,PRICING
C-fb91f8,A-96bbc6,2024-06-24,competitor,0.0,1,0,1,,6,2024,2024-06,COMPETITION
C-02604c,A-9208f0,2024-11-09,features,0.0,0,0,1,too expensive,11,2024,2024-11,PRODUCT
C-85e84b,A-4814a3,2024-11-25,pricing,0.0,0,0,0,too expensive,11,2024,2024-11,OTHER
C-df72bb,A-dcc2f0,2024-04-10,features,0.0,1,0,0,,4,2024,2024-04,PRODUCT
C-a41660,A-3cc791,2024-10-09,features,0.0,0,0,1,,10,2024,2024-10,PRODUCT
C-3e764b,A-d792a6,2023-09-11,competitor,0.0,0,0,0,too expensive,9,2023,2023-09,COMPETITION
C-f46a9e,A-6e7827,2024-04-09,features,0.0,0,0,0,missing features,4,2024,2024-04,PRODUCT
C-864f6f,A-e19ff6,2024-01-08,pricing,0.0,0,1,0,switched to competitor,1,2024,2024-01,OTHER
C-2cec1c,A-712f1c,2024-10-24,budget,68.99,0,0,0,,10,2024,2024-10,PRICING
C-bc2761,A-68f37c,2024-02-08,competitor,0.0,0,0,0,too expensive,2,2024,2024-02,COMPETITION
C-c82861,A-e351e1,2024-10-24,budget,0.0,0,0,0,switched to competitor,10,2024,2024-10,PRICING
C-7e1bbd,A-0a62f5,2024-12-18,budget,0.0,1,0,0,switched to competitor,12,2024,2024-12,PRICING
C-6cbc28,A-09316c,2024-12-05,unknown,0.0,0,0,0,switched to competitor,12,2024,2024-12,OTHER
C-13f833,A-4d1e75,2024-09-05,budget,0.0,0,0,0,missing features,9,2024,2024-09,PRICING
C-499165,A-8ae3fc,2024-08-10,budget,0.0,0,0,0,,8,2024,2024-08,PRICING
C-5d5768,A-bb1eaa,2024-08-15,pricing,0.0,0,1,0,too expensive,8,2024,2024-08,OTHER
C-8ab44a,A-c58f49,2024-08-27,competitor,0.0,1,1,0,too expensive,8,2024,2024-08,COMPETITION
C-575802,A-67be94,2024-06-30,competitor,13.72,0,0,0,too expensive,6,2024,2024-06,COMPETITION
C-b38b8a,A-cdf020,2023-12-08,budget,105.26,0,0,0,too expensive,12,2023,2023-12,PRICING
C-e601dc,A-aa9511,2023-10-17,competitor,0.0,0,0,0,,10,2023,2023-10,COMPETITION
C-bc805f,A-50bb9f,2024-09-08,unknown,0.0,0,0,0,too expensive,9,2024,2024-09,OTHER
C-8d2bf5,A-b9eed8,2024-04-23,pricing,0.0,1,0,1,switched to competitor,4,2024,2024-04,OTHER
C-ae25d5,A-149a69,2024-12-04,pricing,0.0,1,0,0,,12,2024,2024-12,OTHER
C-d20b00,A-4ef964,2024-06-19,budget,0.0,1,0,0,too expensive,6,2024,2024-06,PRICING
C-0baa74,A-558c72,2024-11-28,support,43.01,0,0,0,switched to competitor,11,2024,2024-11,SUPPORT
C-7762fe,A-54ecc2,2024-09-12,unknown,0.0,1,0,0,missing features,9,2024,2024-09,OTHER
C-70ab02,A-3b5cd1,2024-01-21,pricing,0.0,1,0,0,missing features,1,2024,2024-01,OTHER
C-4c2a9f,A-ff3c73,2023-12-09,competitor,0.0,1,0,0,missing features,12,2023,2023-12,COMPETITION
C-5b6094,A-296d7c,2024-11-04,budget,0.0,0,0,0,too expensive,11,2024,2024-11,PRICING
C-c5e093,A-c16101,2024-11-13,features,0.0,0,0,1,too expensive,11,2024,2024-11,PRODUCT
C-94eebe,A-9779ad,2024-04-17,unknown,0.0,1,0,0,switched to competitor,4,2024,2024-04,OTHER
C-65ad11,A-39ddf4,2024-12-13,support,0.0,0,0,0,,12,2024,2024-12,SUPPORT
C-ebc01c,A-bd4513,2024-12-07,features,0.0,0,1,0,switched to competitor,12,2024,2024-12,PRODUCT
C-ae15f4,A-3793ee,2023-06-16,unknown,0.0,0,0,0,,6,2023,2023-06,OTHER
C-26576c,A-dbc825,2024-01-14,features,0.0,0,0,0,too expensive,1,2024,2024-01,PRODUCT
C-f6fba0,A-f92792,2024-11-03,features,0.0,0,0,1,,11,2024,2024-11,PRODUCT
C-cfa54b,A-eb7c38,2024-03-22,budget,6.26,0,1,0,,3,2024,2024-03,PRICING
C-260dec,A-202b67,2024-09-14,pricing,9.28,0,0,0,,9,2024,2024-09,OTHER
C-947b6b,A-5a3eb9,2024-04-28,pricing,0.0,0,0,0,missing features,4,2024,2024-04,OTHER
C-0af764,A-ccabf0,2024-05-05,competitor,0.0,1,0,0,too expensive,5,2024,2024-05,COMPETITION
C-e91da6,A-2d4502,2024-05-07,pricing,0.0,1,0,0,,5,2024,2024-05,OTHER
C-2d8e22,A-fce879,2024-10-07,support,0.0,0,0,0,switched to competitor,10,2024,2024-10,SUPPORT
C-47694c,A-0cc442,2024-10-23,budget,59.52,0,0,0,,10,2024,2024-10,PRICING
C-b6549a,A-151c9a,2023-11-04,support,35.6,0,0,0,missing features,11,2023,2023-11,SUPPORT
C-258ade,A-5f2961,2024-11-28,pricing,6.6,0,0,0,switched to competitor,11,2024,2024-11,OTHER
C-8eda06,A-a865bd,2024-03-18,unknown,0.0,0,0,0,,3,2024,2024-03,OTHER
C-07be44,A-751c58,2024-11-05,budget,0.0,0,0,1,missing features,11,2024,2024-11,PRICING
C-62daa0,A-b2225d,2024-03-31,pricing,0.0,0,0,0,too expensive,3,2024,2024-03,OTHER
C-7d6220,A-2edab2,2024-06-23,features,0.0,0,0,0,too expensive,6,2024,2024-06,PRODUCT
C-a65f7c,A-098560,2024-05-30,support,34.35,0,0,0,too expensive,5,2024,2024-05,SUPPORT
C-02a354,A-ccb686,2024-11-24,competitor,25.92,0,0,0,,11,2024,2024-11,COMPETITION
C-5f43c3,A-db5e9e,2024-12-29,pricing,0.0,0,0,0,missing features,12,2024,2024-12,OTHER
C-36a955,A-96bbc6,2024-12-04,competitor,0.0,1,0,0,switched to competitor,12,2024,2024-12,COMPETITION
C-7074f9,A-dcc3f1,2024-07-16,support,0.0,0,0,0,too expensive,7,2024,2024-07,SUPPORT
C-7befdc,A-9779ad,2024-08-11,features,0.0,0,0,0,too expensive,8,2024,2024-08,PRODUCT
C-a72f7f,A-158f4e,2023-03-05,budget,0.0,0,0,0,switched to competitor,3,2023,2023-03,PRICING
C-065699,A-c16cf7,2024-12-07,support,0.0,0,0,0,too expensive,12,2024,2024-12,SUPPORT
C-17044c,A-bcf664,2024-10-04,features,75.32,0,0,1,too expensive,10,2024,2024-10,PRODUCT
C-d716da,A-96bbc6,2024-12-21,budget,125.6,0,0,0,missing features,12,2024,2024-12,PRICING
C-dd2ad2,A-30b4ca,2024-09-01,features,0.0,0,0,0,,9,2024,2024-09,PRODUCT
C-2c410a,A-712426,2024-12-23,features,0.0,1,0,1,missing features,12,2024,2024-12,PRODUCT
C-5f93ed,A-337bc1,2023-12-16,unknown,0.0,0,0,0,missing features,12,2023,2023-12,OTHER
C-f79e5e,A-7dacce,2024-09-18,unknown,0.0,0,0,0,switched to competitor,9,2024,2024-09,OTHER
C-c9b84b,A-158f4e,2024-12-04,features,0.0,0,0,0,,12,2024,2024-12,PRODUCT
C-aee993,A-1d5444,2024-06-01,support,0.0,0,0,0,too expensive,6,2024,2024-06,SUPPORT
C-cc8de6,A-526d93,2024-09-25,support,0.0,1,0,0,missing features,9,2024,2024-09,SUPPORT
C-f1773a,A-68f37c,2024-05-15,support,0.0,1,0,0,switched to competitor,5,2024,2024-05,SUPPORT
C-fe3853,A-f51f16,2024-12-07,competitor,0.0,1,1,0,too expensive,12,2024,2024-12,COMPETITION
C-770066,A-84ebe4,2024-01-05,budget,0.0,0,0,0,switched to competitor,1,2024,2024-01,PRICING
C-449318,A-5a184f,2023-07-23,features,0.0,0,0,0,too expensive,7,2023,2023-07,PRODUCT
C-e2ecb7,A-e7a1e2,2024-12-11,features,0.0,0,0,0,,12,2024,2024-12,PRODUCT
C-211191,A-781cc0,2024-10-12,support,0.0,1,0,0,,10,2024,2024-10,SUPPORT
C-55f4ec,A-0cc442,2024-07-20,pricing,0.0,0,0,0,too expensive,7,2024,2024-07,OTHER
C-695fcd,A-2e4581,2024-11-23,budget,0.0,0,0,0,switched to competitor,11,2024,2024-11,PRICING
C-921335,A-659280,2024-07-23,features,0.0,0,0,0,too expensive,7,2024,2024-07,PRODUCT
C-9776b7,A-40a557,2023-12-08,budget,0.0,0,0,0,switched to competitor,12,2023,2023-12,PRICING
C-b3d895,A-0a62f5,2024-12-27,support,43.6,0,0,0,too expensive,12,2024,2024-12,SUPPORT
C-1965c1,A-9f9299,2024-10-08,competitor,0.0,0,0,0,,10,2024,2024-10,COMPETITION
C-0ec68d,A-e83938,2024-02-19,features,0.0,0,0,0,too expensive,2,2024,2024-02,PRODUCT
C-08d3b3,A-3f9cc0,2024-12-21,budget,0.0,0,0,1,switched to competitor,12,2024,2024-12,PRICING
C-466a70,A-ee42db,2023-06-23,pricing,0.0,1,0,0,too expensive,6,2023,2023-06,OTHER
C-02f4fa,A-ae052e,2024-11-13,unknown,0.0,0,0,0,too expensive,11,2024,2024-11,OTHER
C-ac34ca,A-ab438f,2024-12-02,budget,0.0,1,1,0,,12,2024,2024-12,PRICING
C-92f5cb,A-90a8c8,2024-08-29,support,0.0,0,0,0,missing features,8,2024,2024-08,SUPPORT
C-08b126,A-0cc442,2024-09-26,budget,0.0,1,0,1,too expensive,9,2024,2024-09,PRICING
C-9cc7a5,A-8e47ca,2024-09-18,competitor,0.0,0,0,0,too expensive,9,2024,2024-09,COMPETITION
C-c5b2e8,A-c608c8,2024-06-04,support,0.0,0,0,0,too expensive,6,2024,2024-06,SUPPORT
