subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,duration_days,duration_months,subscription_status
S-35c8a3,A-e4144b,2024-12-22,,ENTERPRISE,41,8159,97908,0,0,0,0,annual,1,,,ACTIVE
S-99fbf7,A-7dacce,2024-09-10,,ENTERPRISE,12,2388,28656,0,0,0,0,annual,1,,,ACTIVE
S-e97b9f,A-a0ca4e,2024-03-16,,ENTERPRISE,12,2388,28656,0,0,0,0,annual,1,,,ACTIVE
S-763d33,A-ef84cf,2024-07-25,,BASIC,23,437,5244,0,0,1,0,annual,0,,,DOWNGRADED
S-323782,A-7920cc,2024-02-22,,BASIC,39,741,8892,0,0,0,0,monthly,1,,,ACTIVE
S-1cff18,A-2789e3,2024-10-03,,BASIC,11,209,2508,0,0,0,0,monthly,1,,,ACTIVE
S-ad39ef,A-e40f45,2024-08-25,,PRO,21,0,0,1,1,0,0,annual,1,,,UPGRADED
S-bf806d,A-7c5768,2024-09-21,,BASIC,62,1178,14136,0,0,0,0,annual,1,,,ACTIVE
S-36f6ec,A-ccb686,2024-08-16,,PRO,21,1029,12348,0,1,0,0,monthly,1,,,UPGRADED
S-aff55c,A-bb2f49,2024-01-14,2024-12-29,PRO,8,0,0,1,0,0,1,monthly,1,350.0,11.7,CHURNED
S-b9fc6c,A-2ebb4b,2023-06-16,,BASIC,41,779,9348,0,0,0,0,annual,1,,,ACTIVE
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,ENTERPRISE,20,3980,47760,0,0,0,1,monthly,1,60.0,2.0,CHURNED
S-e912e6,A-a8d89d,2023-12-12,,ENTERPRISE,78,15522,186264,0,0,0,0,monthly,1,,,ACTIVE
S-fef85a,A-7f8241,2024-08-06,,PRO,34,1666,19992,0,0,0,0,annual,1,,,ACTIVE
S-36d5c9,A-54ecc2,2023-09-16,,ENTERPRISE,11,2189,26268,0,0,0,0,monthly,1,,,ACTIVE
S-b9ff15,A-95b24a,2024-01-08,,ENTERPRISE,43,8557,102684,0,0,0,0,annual,0,,,ACTIVE
S-10bd09,A-bbc346,2024-09-03,,BASIC,50,950,11400,0,0,0,0,annual,1,,,ACTIVE
S-12bfc8,A-31ab9a,2024-12-06,,ENTERPRISE,29,5771,69252,0,0,0,0,monthly,0,,,ACTIVE
S-f5c472,A-faa28c,2024-07-09,,BASIC,48,912,10944,0,0,0,0,monthly,1,,,ACTIVE
S-dbc1ca,A-8adedc,2024-04-24,,ENTERPRISE,14,2786,33432,0,0,0,0,annual,1,,,ACTIVE
S-dc6dfd,A-e08cd3,2024-09-30,,PRO,67,3283,39396,0,0,0,0,monthly,1,,,ACTIVE
S-b2d472,A-bcf87c,2024-08-27,2024-12-11,ENTERPRISE,10,1990,23880,0,0,0,1,annual,0,106.0,3.5,CHURNED
S-9dfce0,A-e6afc1,2024-08-30,,PRO,2,98,1176,0,0,0,0,annual,1,,,ACTIVE
S-9cb6a7,A-7f29a7,2024-12-21,,BASIC,41,779,9348,0,0,0,0,monthly,1,,,ACTIVE
S-dabcd2,A-3ce5b8,2024-09-22,,PRO,28,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-8c3cc8,A-b2225d,2024-10-17,,BASIC,47,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-2923fc,A-fa3095,2024-07-08,,ENTERPRISE,70,13930,167160,0,0,0,0,annual,1,,,ACTIVE
S-f0a2e5,A-55f257,2024-06-05,,BASIC,23,0,0,1,0,0,0,annual,1,,,ACTIVE
S-025bea,A-9affe6,2024-06-25,,PRO,17,833,9996,0,1,0,0,monthly,1,,,UPGRADED
S-0e499f,A-296d7c,2024-08-17,,PRO,16,784,9408,0,0,0,0,annual,0,,,ACTIVE
S-0267b7,A-65a46c,2024-10-17,2024-12-04,ENTERPRISE,13,0,0,1,0,0,1,monthly,1,48.0,1.6,CHURNED
S-b5b9a5,A-812c5b,2024-07-25,,BASIC,55,1045,12540,0,0,0,0,monthly,1,,,ACTIVE
S-8e45ba,A-7f8241,2023-12-13,,BASIC,34,646,7752,0,0,0,0,annual,0,,,ACTIVE
S-37ed34,A-d4ac0e,2024-07-07,,ENTERPRISE,20,3980,47760,0,0,0,0,annual,1,,,ACTIVE
S-65dbf3,A-17939a,2024-12-28,,BASIC,36,684,8208,0,0,0,0,monthly,1,,,ACTIVE
S-ce5450,A-0a282f,2024-12-25,2024-12-28,PRO,8,0,0,1,0,0,1,annual,1,3.0,0.1,CHURNED
S-6c969d,A-855a48,2024-05-08,,BASIC,14,266,3192,0,0,0,0,monthly,0,,,ACTIVE
S-522aef,A-f3ff05,2024-08-22,,PRO,4,196,2352,0,0,0,0,annual,1,,,ACTIVE
S-82db05,A-417d2f,2024-12-09,,PRO,26,1274,15288,0,0,0,0,monthly,1,,,ACTIVE
S-162596,A-462d45,2024-02-29,,PRO,18,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-f703bd,A-202b67,2024-09-04,,PRO,11,539,6468,0,0,0,0,monthly,1,,,ACTIVE
S-a1d6ad,A-eafc6e,2024-09-01,,PRO,27,1323,15876,0,0,0,0,monthly,1,,,ACTIVE
S-8b1fc1,A-309e54,2024-12-26,,BASIC,15,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-09cdac,A-82861f,2024-07-31,2024-09-04,BASIC,41,779,9348,0,0,0,1,annual,1,35.0,1.2,CHURNED
S-fa5301,A-ba6516,2024-03-14,,PRO,55,0,0,1,0,0,0,monthly,0,,,ACTIVE
S-69937b,A-08e34e,2024-08-08,,PRO,14,686,8232,0,0,0,0,annual,0,,,ACTIVE
S-f2537d,A-e43bf7,2024-01-24,,PRO,44,2156,25872,0,0,0,0,monthly,1,,,ACTIVE
S-27f7b2,A-a1b80b,2024-04-03,,BASIC,38,722,8664,0,0,0,0,annual,1,,,ACTIVE
S-9c2b8e,A-443f6f,2024-12-26,,BASIC,19,361,4332,0,1,0,0,annual,1,,,UPGRADED
S-a4f26d,A-32728c,2023-05-21,,PRO,20,980,11760,0,0,0,0,monthly,1,,,ACTIVE
S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18,PRO,53,2597,31164,0,0,0,1,annual,1,39.0,1.3,CHURNED
S-367dee,A-e19ff6,2024-06-29,,PRO,1,49,588,0,0,0,0,annual,1,,,ACTIVE
S-3b9ad8,A-6e08f3,2024-12-24,,ENTERPRISE,28,5572,66864,0,0,0,0,monthly,0,,,ACTIVE
S-c9f8c1,A-544d0a,2024-07-23,,ENTERPRISE,5,995,11940,0,0,1,0,monthly,1,,,DOWNGRADED
S-57cd05,A-8b0451,2024-10-26,,BASIC,41,779,9348,0,0,0,0,annual,1,,,ACTIVE
S-e505c1,A-8ae3fc,2024-09-17,,PRO,34,1666,19992,0,0,0,0,annual,1,,,ACTIVE
S-121b4d,A-8ae3fc,2024-11-22,,BASIC,9,171,2052,0,0,0,0,annual,1,,,ACTIVE
S-72b4f2,A-4437e4,2024-02-06,,PRO,49,2401,28812,0,0,0,0,annual,1,,,ACTIVE
S-c9b0cc,A-4d1e75,2024-10-11,,ENTERPRISE,38,7562,90744,0,0,0,0,monthly,1,,,ACTIVE
S-27c993,A-098560,2024-11-17,,ENTERPRISE,4,796,9552,0,0,0,0,monthly,1,,,ACTIVE
S-8b9889,A-ac9111,2024-08-18,,PRO,21,1029,12348,0,0,0,0,monthly,1,,,ACTIVE
S-2214c6,A-3c1a3f,2024-10-07,,PRO,82,4018,48216,0,0,0,0,monthly,1,,,ACTIVE
S-ce695e,A-cb6cc6,2024-05-25,,ENTERPRISE,13,0,0,1,0,0,0,annual,0,,,ACTIVE
S-066d80,A-9b9fe9,2024-08-17,,PRO,5,245,2940,0,0,0,0,monthly,1,,,ACTIVE
S-228457,A-029f69,2024-05-24,,ENTERPRISE,24,4776,57312,0,0,0,0,annual,1,,,ACTIVE
S-e50612,A-c7e58b,2024-07-15,,BASIC,13,247,2964,0,0,0,0,annual,0,,,ACTIVE
S-64fba3,A-00bed1,2024-07-16,,ENTERPRISE,28,5572,66864,0,0,0,0,annual,1,,,ACTIVE
S-2372d2,A-cea1f0,2024-12-22,,ENTERPRISE,21,4179,50148,0,0,0,0,annual,0,,,ACTIVE
S-2661dc,A-c37cab,2024-08-07,,PRO,20,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-427275,A-4c38bc,2024-07-14,,ENTERPRISE,36,7164,85968,0,0,0,0,annual,1,,,ACTIVE
S-628729,A-157070,2024-10-05,,ENTERPRISE,23,4577,54924,0,0,1,0,monthly,1,,,DOWNGRADED
S-e260ff,A-bcf87c,2024-12-09,,ENTERPRISE,21,4179,50148,0,0,0,0,annual,1,,,ACTIVE
S-89c03a,A-8ae3fc,2024-09-20,,PRO,9,441,5292,0,0,0,0,monthly,1,,,ACTIVE
S-86455a,A-1b9609,2023-12-01,,PRO,12,588,7056,0,0,0,0,monthly,1,,,ACTIVE
S-3660bb,A-474ad4,2024-12-14,,ENTERPRISE,10,0,0,1,0,0,0,monthly,0,,,ACTIVE
S-6bf7d7,A-9bfc9f,2024-03-23,,PRO,53,2597,31164,0,0,1,0,annual,0,,,DOWNGRADED
S-feccd8,A-812c5b,2024-12-22,,ENTERPRISE,55,10945,131340,0,0,0,0,monthly,1,,,ACTIVE
S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,PRO,24,1176,14112,0,0,1,1,annual,1,107.0,3.6,CHURNED
S-0e0578,A-de58ca,2023-07-09,,BASIC,15,285,3420,0,0,0,0,monthly,1,,,ACTIVE
S-74538d,A-e60f9d,2024-11-13,,PRO,46,2254,27048,0,0,0,0,annual,1,,,ACTIVE
S-c2a6cb,A-9affe6,2023-10-19,,ENTERPRISE,7,1393,16716,0,1,0,0,annual,0,,,UPGRADED
S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,BASIC,38,722,8664,0,0,0,1,annual,1,3.0,0.1,CHURNED
S-3cc352,A-d27f50,2024-08-06,,PRO,44,2156,25872,0,0,0,0,monthly,1,,,ACTIVE
S-124207,A-fdfc91,2023-08-31,,BASIC,29,551,6612,0,0,0,0,annual,1,,,ACTIVE
S-76e7d9,A-712f1c,2024-02-09,,ENTERPRISE,44,8756,105072,0,0,0,0,monthly,1,,,ACTIVE
S-44f453,A-19b2c8,2024-02-10,,ENTERPRISE,20,3980,47760,0,0,0,0,monthly,1,,,ACTIVE
S-03a97f,A-f51f16,2024-03-15,,PRO,60,2940,35280,0,0,0,0,annual,1,,,ACTIVE
S-80c01c,A-d3c88e,2024-12-16,,BASIC,16,304,3648,0,1,0,0,annual,1,,,UPGRADED
S-666181,A-eb1312,2024-10-09,,BASIC,71,1349,16188,0,0,0,0,annual,1,,,ACTIVE
S-401496,A-68f37c,2023-08-13,2024-06-22,ENTERPRISE,4,796,9552,0,1,0,1,monthly,1,314.0,10.5,CHURNED
S-ca0c98,A-fda07f,2024-11-28,,PRO,7,343,4116,0,0,0,0,monthly,1,,,ACTIVE
S-017e33,A-f9cc74,2024-11-08,2024-11-25,BASIC,53,1007,12084,0,0,0,1,monthly,1,17.0,0.6,CHURNED
S-183073,A-e7a1e2,2024-07-19,,ENTERPRISE,14,2786,33432,0,0,0,0,monthly,1,,,ACTIVE
S-22f503,A-7a0d69,2024-09-06,,BASIC,6,114,1368,0,0,0,0,annual,1,,,ACTIVE
S-7de1b7,A-4d1e75,2024-10-27,,ENTERPRISE,20,3980,47760,0,0,0,0,annual,1,,,ACTIVE
S-c7f564,A-902ef7,2024-11-23,,PRO,83,0,0,1,1,0,0,annual,1,,,UPGRADED
S-ceffe9,A-89ee83,2024-11-23,,ENTERPRISE,2,398,4776,0,0,0,0,monthly,1,,,ACTIVE
S-9b2c95,A-e60f9d,2024-11-24,2024-12-05,PRO,29,0,0,1,0,0,1,annual,1,11.0,0.4,CHURNED
S-cf6ec1,A-d77f4c,2024-08-04,,ENTERPRISE,22,4378,52536,0,1,0,0,monthly,0,,,UPGRADED
S-a44d72,A-b30291,2024-06-12,,PRO,18,882,10584,0,0,0,0,monthly,1,,,ACTIVE
S-0b0ffa,A-180abf,2024-01-17,2024-04-19,BASIC,64,0,0,1,0,0,1,annual,1,93.0,3.1,CHURNED
S-02af5d,A-d82ef9,2024-08-07,,ENTERPRISE,26,0,0,1,0,0,0,annual,1,,,ACTIVE
S-d07c53,A-249769,2024-09-24,,BASIC,21,399,4788,0,0,0,0,annual,1,,,ACTIVE
S-c67b80,A-eb2fdc,2024-02-24,,PRO,31,1519,18228,0,0,0,0,monthly,0,,,ACTIVE
S-5d68fb,A-5f2961,2024-12-02,,PRO,49,2401,28812,0,0,0,0,annual,1,,,ACTIVE
S-fc9cc3,A-9b9fe9,2024-01-01,,PRO,24,1176,14112,0,0,0,0,annual,1,,,ACTIVE
S-17f71d,A-e40f45,2024-05-15,,PRO,44,2156,25872,0,1,0,0,monthly,1,,,UPGRADED
S-5895f0,A-bcf664,2023-10-05,,BASIC,8,0,0,1,0,0,0,annual,1,,,ACTIVE
S-b042d9,A-0e966d,2024-11-15,,ENTERPRISE,11,2189,26268,0,0,0,0,annual,1,,,ACTIVE
S-ffd1ee,A-f03140,2024-11-06,,PRO,27,0,0,1,0,0,0,annual,1,,,ACTIVE
S-9c4bcd,A-a7bd4b,2024-05-14,,PRO,5,245,2940,0,1,0,0,monthly,1,,,UPGRADED
S-4f91d0,A-7f8241,2024-10-12,,BASIC,34,646,7752,0,0,0,0,monthly,0,,,ACTIVE
S-672f1b,A-eafc6e,2023-08-08,,PRO,27,1323,15876,0,0,0,0,monthly,1,,,ACTIVE
S-101201,A-d49cc5,2024-02-13,,BASIC,50,950,11400,0,0,0,0,annual,1,,,ACTIVE
S-eea643,A-54ecc2,2024-10-30,,ENTERPRISE,28,5572,66864,0,0,0,0,monthly,1,,,ACTIVE
S-5f9a67,A-6da850,2023-12-04,,PRO,5,245,2940,0,0,0,0,annual,1,,,ACTIVE
S-327e7c,A-4e960a,2024-02-07,,ENTERPRISE,17,0,0,1,0,0,0,annual,1,,,ACTIVE
S-d97c5f,A-533452,2024-11-25,,PRO,101,4949,59388,0,0,0,0,monthly,1,,,ACTIVE
S-029c20,A-f44180,2024-12-13,,BASIC,10,0,0,1,0,0,0,annual,0,,,ACTIVE
S-a74462,A-7c83a1,2024-05-14,,PRO,48,2352,28224,0,0,0,0,annual,1,,,ACTIVE
S-02ec76,A-e60f9d,2024-09-17,,PRO,29,1421,17052,0,0,0,0,monthly,1,,,ACTIVE
S-d1c9e3,A-075038,2024-01-09,,BASIC,17,323,3876,0,0,0,0,annual,1,,,ACTIVE
S-51d8db,A-cc1d8d,2024-12-30,,ENTERPRISE,6,1194,14328,0,0,0,0,annual,1,,,ACTIVE
S-c3c85e,A-271f46,2024-10-31,,BASIC,38,722,8664,0,0,0,0,monthly,1,,,ACTIVE
S-44a646,A-1e1b80,2023-12-26,,BASIC,50,950,11400,0,0,0,0,annual,1,,,ACTIVE
S-431c03,A-e4bf56,2024-12-02,2024-12-19,ENTERPRISE,37,7363,88356,0,0,0,1,monthly,1,17.0,0.6,CHURNED
S-4f0027,A-ff79f2,2024-12-31,2024-12-31,ENTERPRISE,19,3781,45372,0,0,0,1,annual,1,0.0,0.0,CHURNED
S-6c9ee1,A-6da850,2024-02-20,,ENTERPRISE,23,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-396a84,A-5b4ebb,2024-10-23,2024-11-27,BASIC,21,399,4788,0,0,0,1,monthly,0,35.0,1.2,CHURNED
S-6bea24,A-3f9cc0,2024-07-06,,BASIC,22,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-259804,A-d4ac0e,2024-10-01,,BASIC,28,532,6384,0,0,0,0,annual,1,,,ACTIVE
S-33e40e,A-86cdb4,2024-10-10,2024-12-29,ENTERPRISE,2,398,4776,0,0,0,1,annual,1,80.0,2.7,CHURNED
S-fbd522,A-310452,2024-12-28,,PRO,9,0,0,1,0,0,0,annual,0,,,ACTIVE
S-bbafad,A-854864,2024-12-27,2024-12-30,BASIC,20,380,4560,0,0,0,1,annual,1,3.0,0.1,CHURNED
S-3edc14,A-d82ef9,2024-10-04,,PRO,26,0,0,1,0,0,0,annual,1,,,ACTIVE
S-11e29d,A-71615e,2024-10-13,,BASIC,32,608,7296,0,0,0,0,monthly,1,,,ACTIVE
S-1feff8,A-5fe118,2024-12-06,,ENTERPRISE,39,7761,93132,0,0,0,0,annual,1,,,ACTIVE
S-61e86c,A-39ddf4,2024-12-07,,ENTERPRISE,40,7960,95520,0,0,0,0,annual,1,,,ACTIVE
S-af41f0,A-e83938,2024-06-27,,BASIC,2,38,456,0,0,0,0,annual,0,,,ACTIVE
S-65ae02,A-671f31,2024-12-14,,PRO,59,2891,34692,0,0,0,0,annual,1,,,ACTIVE
S-f7fccd,A-443b7c,2024-11-18,,BASIC,6,0,0,1,1,0,0,annual,1,,,UPGRADED
S-7904d3,A-d4e0d4,2024-11-30,2024-12-03,ENTERPRISE,117,23283,279396,0,0,0,1,monthly,1,3.0,0.1,CHURNED
S-48a54e,A-b2225d,2024-10-29,,BASIC,47,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-4a08bd,A-e08cd3,2024-10-11,,PRO,67,3283,39396,0,0,0,0,annual,0,,,ACTIVE
S-faa8ec,A-2e4581,2024-12-09,,BASIC,11,209,2508,0,0,0,0,monthly,1,,,ACTIVE
S-8db104,A-4a267b,2024-10-18,,PRO,25,1225,14700,0,0,1,0,monthly,1,,,DOWNGRADED
S-3c0121,A-7c83a1,2024-12-30,,PRO,24,1176,14112,0,0,0,0,monthly,1,,,ACTIVE
S-13ca37,A-6843f2,2024-12-21,,PRO,21,0,0,1,0,1,0,monthly,1,,,DOWNGRADED
S-163e64,A-dfbd31,2024-11-08,,ENTERPRISE,62,12338,148056,0,0,0,0,monthly,1,,,ACTIVE
S-4d1ba6,A-00cac8,2024-04-04,,ENTERPRISE,9,0,0,1,0,0,0,annual,0,,,ACTIVE
S-e98d6b,A-309e54,2024-12-31,,BASIC,15,285,3420,0,0,0,0,annual,1,,,ACTIVE
S-041624,A-6843f2,2024-12-12,,ENTERPRISE,21,4179,50148,0,0,0,0,monthly,1,,,ACTIVE
S-b78829,A-2e4581,2024-11-12,,PRO,20,980,11760,0,0,0,0,monthly,1,,,ACTIVE
S-ca1c21,A-f92792,2024-12-02,,BASIC,9,0,0,1,0,0,0,annual,0,,,ACTIVE
S-e1de58,A-ce550d,2024-10-28,,ENTERPRISE,35,6965,83580,0,1,0,0,annual,1,,,UPGRADED
S-721fea,A-f6b2fb,2024-05-23,,PRO,23,1127,13524,0,0,1,0,monthly,1,,,DOWNGRADED
S-eaac58,A-ff3c73,2023-04-08,,BASIC,66,1254,15048,0,0,0,0,annual,1,,,ACTIVE
S-1218fd,A-2d4502,2024-11-02,,BASIC,14,266,3192,0,1,0,0,monthly,0,,,UPGRADED
S-936732,A-2f6a32,2024-11-28,2024-12-06,PRO,19,931,11172,0,0,0,1,annual,1,8.0,0.3,CHURNED
S-c2f293,A-69b156,2024-12-10,2024-12-30,BASIC,8,152,1824,0,0,0,1,monthly,0,20.0,0.7,CHURNED
S-fe3b71,A-44dc83,2024-09-24,,ENTERPRISE,37,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-f5f5b3,A-89ee83,2024-12-26,2024-12-29,BASIC,10,190,2280,0,0,0,1,annual,1,3.0,0.1,CHURNED
S-4afb53,A-40de06,2023-12-12,2024-12-29,ENTERPRISE,28,5572,66864,0,0,0,1,monthly,1,383.0,12.8,CHURNED
S-851bbe,A-d77f4c,2024-04-22,,ENTERPRISE,94,18706,224472,0,1,0,0,annual,1,,,UPGRADED
S-dab0d5,A-cc1d8d,2024-12-14,,BASIC,5,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-9aa190,A-9b9fe9,2024-10-17,,BASIC,33,627,7524,0,0,0,0,annual,1,,,ACTIVE
S-f89d8c,A-88c6ca,2024-12-18,,PRO,49,2401,28812,0,0,0,0,monthly,1,,,ACTIVE
S-766a62,A-1ac5e0,2024-11-24,,ENTERPRISE,33,0,0,1,0,0,0,monthly,0,,,ACTIVE
S-10134d,A-52dd88,2024-09-09,,ENTERPRISE,23,4577,54924,0,0,0,0,annual,1,,,ACTIVE
S-85de7a,A-940b8b,2024-04-01,,ENTERPRISE,32,6368,76416,0,0,1,0,annual,1,,,DOWNGRADED
S-85796b,A-f19409,2024-08-27,2024-10-31,ENTERPRISE,23,4577,54924,0,0,0,1,monthly,1,65.0,2.2,CHURNED
S-c97464,A-f5641b,2024-10-16,,PRO,38,1862,22344,0,0,0,0,monthly,0,,,ACTIVE
S-6732ff,A-9affe6,2023-11-22,,PRO,24,1176,14112,0,0,0,0,annual,1,,,ACTIVE
S-aa20eb,A-6f8ad2,2024-09-08,,PRO,1,49,588,0,0,0,0,monthly,0,,,ACTIVE
S-b6aabe,A-902ef7,2024-12-25,,BASIC,83,1577,18924,0,0,0,0,annual,1,,,ACTIVE
S-0ff339,A-6dee43,2024-01-21,,BASIC,12,228,2736,0,0,0,0,annual,1,,,ACTIVE
S-4d664d,A-cc1d8d,2024-12-26,,PRO,16,784,9408,0,1,1,0,annual,1,,,UPGRADED
S-8deb5f,A-533452,2024-12-25,,BASIC,52,988,11856,0,0,0,0,annual,0,,,ACTIVE
S-e2d4e9,A-18793f,2024-12-30,,BASIC,148,0,0,1,1,0,0,monthly,1,,,UPGRADED
S-d8441d,A-8adedc,2024-03-16,,BASIC,4,76,912,0,0,0,0,annual,1,,,ACTIVE
S-6d356a,A-425e76,2023-06-26,,BASIC,28,532,6384,0,0,0,0,annual,0,,,ACTIVE
S-c005ac,A-92a3af,2024-09-18,,ENTERPRISE,25,4975,59700,0,0,0,0,annual,1,,,ACTIVE
S-d0913e,A-eb2fdc,2024-11-14,,PRO,31,1519,18228,0,0,0,0,monthly,1,,,ACTIVE
S-4bef15,A-600734,2024-08-14,2024-09-22,ENTERPRISE,29,0,0,1,0,0,1,annual,1,39.0,1.3,CHURNED
S-2573e4,A-7f8241,2024-01-25,,BASIC,60,1140,13680,0,0,0,0,monthly,1,,,ACTIVE
S-80c291,A-712533,2024-01-06,,ENTERPRISE,18,3582,42984,0,0,0,0,annual,1,,,ACTIVE
S-64acb8,A-3be56b,2024-08-21,,ENTERPRISE,30,5970,71640,0,0,0,0,monthly,1,,,ACTIVE
S-13a948,A-d5a319,2024-07-24,,ENTERPRISE,15,2985,35820,0,1,0,0,monthly,0,,,UPGRADED
